regions,Year 2022 ₸,Year 2022 $
Республика Казахстан,5284.7,11476.6
Акмолинская,4428.5,9617.1
Актюбинская ,4788.2,10398.3
Алматинская,2860,6210.9
Атырауская,19974.1,43376.7
Западно-Казахстанская,6467.8,14045.8
Жамбылская,2212.2,4804.1
Карагандинская,6412.9,13926.6
Костанайская,5014.7,10890.2
Кызылординская,2917.9,6336.6
Мангистауская,5817.8,12634.2
Павлодарская,5685.8,12347.6
Северо-Казахстанская,4097.7,8898.8
Восточно-Казахстанская,5353.8,11626.6
г.Астана,8053.9,17490.2
г.Алматы,8985.6,19513.6
