regions,Year 2022 ₸,Year 2022 $
The Republic Kazakhstan,5284.7,11476.6
Akmola Region,4428.5,9617.1
Актюбинская ,4788.2,10398.3
Almaty Region,2860,6210.9
Atyrau Region,19974.1,43376.7
West Kazakhstan Region,6467.8,14045.8
Zhambyl Region,2212.2,4804.1
Karaganda Region,6412.9,13926.6
Kostanay Region,5014.7,10890.2
Kyzylorda Region,2917.9,6336.6
Mangystau Region,5817.8,12634.2
Pavlodar Region,5685.8,12347.6
North Kazakhstan Region,4097.7,8898.8
East Kazakhstan Region,5353.8,11626.6
Astana city,8053.9,17490.2
Almaty city,8985.6,19513.6
